_id,HB,TreatmentLocationName,TreatmentLocationCode,CurrentDepartmentType,FileType,Comments,Status
1,S08000015,University Hospital Ayr,A210H,Emergency Department ,Episode,None,Open
2,S08000015,University Hospital Crosshouse,A111H,Emergency Department ,Episode,None,Open
3,S08000015,Arran War Memorial Hospital,A101H,Minor Injury Unit or Other ,Aggregate,None,Open
4,S08000015,Davidson Cottage Hospital,A207H,Minor Injury Unit or Other ,Aggregate,Closed from May 2010,Closed
5,S08000015,Girvan Community Hospital,A216H,Minor Injury Unit or Other ,Aggregate,Opened from May 2010,Open
6,S08000015,Lady Margaret Hospital,A110H,Minor Injury Unit or Other ,Aggregate,Opened from October 2007,Open
7,S08000016,Borders General Hospital,B120H,Emergency Department ,Episode,None,Open
8,S08000016,Hawick Community  Hospital,B105H,Minor Injury Unit or Other ,Aggregate,None,Open
9,S08000016,Hay Lodge Hospital,B118H,Minor Injury Unit or Other ,Aggregate,None,Open
10,S08000016,Kelso Community Hospital,B114H,Minor Injury Unit or Other ,Aggregate,None,Open
11,S08000016,Knoll Community Hospital,B103H,Minor Injury Unit or Other ,Aggregate,None,Open
12,S08000017,Dumfries & Galloway Royal Infirmary,Y146H,Emergency Department ,Episode,None,Open
13,S08000017,Galloway Community Hospital,Y144H,Emergency Department ,Episode,Episode file from December 2007,Open
14,S08000017,Castle Douglas Hospital,Y101H,Minor Injury Unit or Other ,Aggregate,None,Open
15,S08000017,Kirkcudbright Hospital,Y106H,Minor Injury Unit or Other ,Aggregate,None,Open
16,S08000017,Moffat Hospital,Y109H,Minor Injury Unit or Other ,Aggregate,None,Open
17,S08000017,Newton Stewart Hospital,Y110H,Minor Injury Unit or Other ,Episode,Episode file from March 2012,Open
18,S08000029,Victoria Hospital (NHS Fife),F704H,Emergency Department ,Episode,None,Open
19,S08000029,Adamson Hospital,F708H,Minor Injury Unit or Other ,Episode,Episode file from October 2016,Open
20,S08000029,Queen Margaret Hospital,F805H,Minor Injury Unit or Other ,Episode,Changed from ED to MIU 19 January 2012. Started submitting episode level data in July 2007,Open
21,S08000029,St Andrews Community Hospital,F709H,Minor Injury Unit or Other ,Episode,Episode file from July 2017,Open
22,S08000019,Forth Valley Royal Hospital,V217H,Emergency Department ,Episode,ED opened 12 July 2011,Open
23,S08000019,Stirling Health And Care Village,V201H,Minor Injury Unit or Other ,Episode,Until 12 July 2011 this was an ED when Stirling Royal Infirmary closed and Stirling Community Hospital (now Stirling Health and Care Village) opened as MIU,Open
24,S08000019,Falkirk Community Hospital,V102H,Minor Injury Unit or Other ,Episode,MIU closed 12 July 2011,Closed
25,S08000020,Aberdeen Royal Infirmary,N101H,Emergency Department ,Episode,None,Open
26,S08000020,Dr Gray's Hospital,N411H,Emergency Department ,Episode,None,Open
27,S08000020,Royal Aberdeen Children's Hospital,N121H,Emergency Department ,Episode,None,Open
28,S08000020,Aboyne Hospital,N151H,Minor Injury Unit or Other ,Aggregate,None,Open
29,S08000020,Chalmers Hospital,N337H,Minor Injury Unit or Other ,Aggregate,None,Open
30,S08000020,Fleming Hospital,N451H,Minor Injury Unit or Other ,Aggregate,None,Open
31,S08000020,Forres Health & Care Centre,N683C,Minor Injury Unit or Other ,Aggregate,MIU opened 08 September 2014,Open
32,S08000020,Fraserburgh Hospital,N334H,Minor Injury Unit or Other ,Aggregate,None,Open
33,S08000020,Insch War Memorial Hospital,N332H,Minor Injury Unit or Other ,Aggregate,None,Open
34,S08000020,Inverurie Hospital,N331H,Minor Injury Unit or Other ,Aggregate,None,Open
35,S08000020,Jubilee Hospital,N335H,Minor Injury Unit or Other ,Aggregate,None,Open
36,S08000020,Kincardine Community Hospital,N494H,Minor Injury Unit or Other ,Aggregate,Aggregate file from June 2012,Open
37,S08000020,Leanchoil Hospital,N434H,Minor Injury Unit or Other ,Aggregate,MIU closed 07 September 2014,Closed
38,S08000020,Peterhead Community Hospital,N333H,Minor Injury Unit or Other ,Aggregate,None,Open
39,S08000020,Seafield Hospital,N431H,Minor Injury Unit or Other ,Aggregate,None,Open
40,S08000020,Stephen Hospital,N432H,Minor Injury Unit or Other ,Aggregate,None,Open
41,S08000020,Turner Memorial Hospital,N433H,Minor Injury Unit or Other ,Aggregate,None,Open
42,S08000020,Turriff Hospital,N336H,Minor Injury Unit or Other ,Aggregate,None,Open
43,S08000031,Glasgow Royal Infirmary,G107H,Emergency Department ,Episode,None,Open
44,S08000031,Inverclyde Royal Hospital,C313H,Emergency Department ,Episode,None,Open
45,S08000031,Royal Alexandra Hospital,C418H,Emergency Department ,Episode,None,Open
46,S08000031,Royal Hospital For Children Glasgow,G513H,Emergency Department ,Episode,Moved from Yorkhill to Queen Elizabeth University Hospital 10 June 2015 08:00 hrs.,Open
47,S08000031,Queen Elizabeth University Hospital,G405H,Emergency Department ,Episode,Until 02 May 2015 08:00hrs Southern General Hospital when Queen Elizabeth Univeristy Hospital opened and Southern General Hospital closed. Re-named from Southern General University Hospital to Queen Elizabeth University Hospital on 03 July 2015.,Open
