"date","ca","ca_name","hb","hb_name","y","m","julian","lt4","gt4","pc.lt4","pc.gt4","size_type","GPs_Count","num.practices","list.size"
2015-02-22,"S12000006","Dumfries and Galloway","S08000017","NHS Dumfries and Galloway",2015,2,0,763,37,0.95375,0.04625,"Medium",138,34,154115
2015-02-22,"S12000008","East Ayrshire","S08000015","NHS Ayrshire and Arran",2015,2,0,1115,232,0.827765404602821,0.172234595397179,"Medium",106,16,132029
2015-02-22,"S12000013","Na h-Eileanan Siar","S08000028","NHS Western Isles",2015,2,0,110,3,0.973451327433628,0.0265486725663717,"Small",31,9,26967
2015-02-22,"S12000014","Falkirk","S08000019","NHS Forth Valley",2015,2,0,1053,42,0.961643835616438,0.0383561643835616,"Medium",126,27,160288
2015-02-22,"S12000017","Highland","S08000022","NHS Highland",2015,2,0,778,46,0.944174757281553,0.0558252427184466,"Large",289,67,236901
2015-02-22,"S12000018","Inverclyde","S08000031","NHS Greater Glasgow and Clyde",2015,2,0,523,102,0.8368,0.1632,"Small",52,16,82293
2015-02-22,"S12000020","Moray","S08000020","NHS Grampian",2015,2,0,409,25,0.942396313364055,0.0576036866359447,"Medium",89,13,92247
2015-02-22,"S12000023","Orkney Islands","S08000025","NHS Orkney",2015,2,0,85,6,0.934065934065934,0.0659340659340659,"Small",31,10,21112
2015-02-22,"S12000026","Scottish Borders","S08000016","NHS Borders",2015,2,0,463,54,0.895551257253385,0.104448742746615,"Medium",117,23,116760
2015-02-22,"S12000027","Shetland Islands","S08000026","NHS Shetland",2015,2,0,142,4,0.972602739726027,0.0273972602739726,"Small",29,10,23045
2015-02-22,"S12000028","South Ayrshire","S08000015","NHS Ayrshire and Arran",2015,2,0,624,190,0.766584766584767,0.233415233415233,"Medium",97,21,113003
2015-02-22,"S12000029","South Lanarkshire","S08000032","NHS Lanarkshire",2015,2,0,897,200,0.817684594348222,0.182315405651778,"Large",236,53,328719
2015-02-22,"S12000033","Aberdeen City","S08000020","NHS Grampian",2015,2,0,1272,171,0.881496881496882,0.118503118503119,"Large",227,30,253271
2015-02-22,"S12000035","Argyll and Bute","S08000022","NHS Highland",2015,2,0,125,1,0.992063492063492,0.00793650793650794,"Medium",100,33,88336
2015-02-22,"S12000036","City of Edinburgh","S08000024","NHS Lothian",2015,2,0,2797,147,0.950067934782609,0.0499320652173913,"Large",530,75,539567
2015-02-22,"S12000038","Renfrewshire","S08000031","NHS Greater Glasgow and Clyde",2015,2,0,971,325,0.749228395061728,0.250771604938272,"Medium",140,29,178132
2015-02-22,"S12000040","West Lothian","S08000024","NHS Lothian",2015,2,0,903,69,0.929012345679012,0.0709876543209877,"Medium",153,22,183880
2015-02-22,"S12000042","Dundee City","S08000030","NHS Tayside",2015,2,0,883,12,0.98659217877095,0.0134078212290503,"Medium",136,23,161750
2015-02-22,"S12000047","Fife","S08000029","NHS Fife",2015,2,0,1135,149,0.883956386292835,0.116043613707165,"Large",277,59,379903
2015-02-22,"S12000048","Perth and Kinross","S08000030","NHS Tayside",2015,2,0,436,5,0.988662131519274,0.0113378684807256,"Medium",138,26,145630
2015-02-22,"S12000049","Glasgow City","S08000031","NHS Greater Glasgow and Clyde",2015,2,0,4262,1396,0.75326970661011,0.24673029338989,"Large",572,148,698108
2015-02-22,"S12000050","North Lanarkshire","S08000032","NHS Lanarkshire",2015,2,0,2227,324,0.872990983927871,0.127009016072129,"Large",218,58,346065
2015-03-01,"S12000006","Dumfries and Galloway","S08000017","NHS Dumfries and Galloway",2015,3,7,788,51,0.939213349225268,0.0607866507747318,"Medium",138,34,154115
2015-03-01,"S12000008","East Ayrshire","S08000015","NHS Ayrshire and Arran",2015,3,7,1215,184,0.868477483917084,0.131522516082916,"Medium",106,16,132029
2015-03-01,"S12000013","Na h-Eileanan Siar","S08000028","NHS Western Isles",2015,3,7,113,6,0.949579831932773,0.0504201680672269,"Small",31,9,26967
2015-03-01,"S12000014","Falkirk","S08000019","NHS Forth Valley",2015,3,7,999,51,0.951428571428571,0.0485714285714286,"Medium",126,27,160288
2015-03-01,"S12000017","Highland","S08000022","NHS Highland",2015,3,7,745,70,0.914110429447853,0.0858895705521472,"Large",289,67,236901
2015-03-01,"S12000018","Inverclyde","S08000031","NHS Greater Glasgow and Clyde",2015,3,7,492,148,0.76875,0.23125,"Small",52,16,82293
2015-03-01,"S12000020","Moray","S08000020","NHS Grampian",2015,3,7,410,17,0.960187353629977,0.0398126463700234,"Medium",89,13,92247
2015-03-01,"S12000023","Orkney Islands","S08000025","NHS Orkney",2015,3,7,80,4,0.952380952380952,0.0476190476190476,"Small",31,10,21112
2015-03-01,"S12000026","Scottish Borders","S08000016","NHS Borders",2015,3,7,499,43,0.920664206642066,0.0793357933579336,"Medium",117,23,116760
2015-03-01,"S12000027","Shetland Islands","S08000026","NHS Shetland",2015,3,7,149,3,0.980263157894737,0.0197368421052632,"Small",29,10,23045
2015-03-01,"S12000028","South Ayrshire","S08000015","NHS Ayrshire and Arran",2015,3,7,667,123,0.844303797468354,0.155696202531646,"Medium",97,21,113003
2015-03-01,"S12000029","South Lanarkshire","S08000032","NHS Lanarkshire",2015,3,7,827,237,0.777255639097744,0.222744360902256,"Large",236,53,328719
