ca_name,num.practices,0-4,5-14,15-24,25-44,45-64,65-74,75-84,85+,list.size,Average practice list size,y
Aberdeen City,30,13329,21712,35655,81536,61633,19070,12225,4549,249709,8323.63,2013
Aberdeenshire,36,13733,27374,27750,62174,71110,24526,13400,4968,245035,6806.53,2013
Angus,17,5893,12370,13113,27514,33200,13518,7969,3010,116587,6858.06,2013
Argyll and Bute,33,4003,8571,9654,19352,26857,11439,6494,2299,88669,2686.94,2013
City of Edinburgh,74,26563,44367,77207,186288,122189,37815,24857,10226,529512,7155.57,2013
Clackmannanshire,7,3066,6267,6651,14112,16370,5800,3111,1002,56379,8054.14,2013
Dumfries and Galloway,34,7161,15262,16735,33634,45995,19744,11706,4073,154310,4538.53,2013
Dundee City,24,8455,15214,25218,44429,40608,14048,9369,3396,160737,6697.38,2013
East Ayrshire,16,7040,13947,15880,33201,37722,13967,7982,2498,132237,8264.81,2013
East Dunbartonshire,17,4980,10902,12279,24561,29819,10924,6949,2302,102716,6042.12,2013
East Lothian,16,5796,11941,12282,25034,29811,10585,6405,2361,104215,6513.44,2013
East Renfrewshire,17,5722,12468,12712,25477,28649,9185,5885,2109,102207,6012.18,2013
Falkirk,28,8863,17284,18191,42664,44329,15273,8808,2860,158272,5652.57,2013
Fife,59,20366,39965,49396,95143,104343,39174,21811,7949,378147,6409.27,2013
Glasgow City,151,35430,62651,99331,230341,168857,46252,30176,11090,684128,4530.65,2013
Highland,67,11825,24678,25302,56359,70697,26076,14725,5193,234855,3505.3,2013
Inverclyde,16,3849,8573,9936,21044,24646,8250,5156,1726,83180,5198.75,2013
Midlothian,13,5204,10036,10474,22348,24954,8965,4863,1558,88402,6800.15,2013
Moray,14,4844,9799,10717,21028,26232,10192,5992,2067,90871,6490.79,2013
Na h-Eileanan Siar,10,1224,2762,2773,6063,8222,3351,2017,792,27204,2720.4,2013
North Ayrshire,19,6940,14715,16624,34358,40455,15657,8786,2864,140399,7389.42,2013
North Lanarkshire,60,19152,39427,42420,94850,95793,30880,17415,4997,344934,5748.9,2013
Orkney Islands,10,1020,2121,2341,4670,6376,2581,1369,474,20952,2095.2,2013
Perth and Kinross,26,6915,14954,16396,34014,41476,16470,10101,3966,144292,5549.69,2013
Renfrewshire,29,9223,18536,21218,47410,50200,16970,10263,3374,177194,6110.14,2013
Scottish Borders,23,5419,12152,12479,25770,34972,14454,8310,3077,116633,5071,2013
Shetland Islands,10,1333,2576,2643,5653,6552,2413,1244,472,22886,2288.6,2013
South Ayrshire,21,5183,10988,12559,26457,33192,13743,8133,3106,113387,5399.38,2013
South Lanarkshire,54,17123,35212,38134,85780,93489,31119,18646,6138,325662,6030.78,2013
Stirling,23,4522,10517,15029,23731,26381,9556,5601,1949,97286,4229.83,2013
West Dunbartonshire,17,5100,10013,11838,25480,27861,8999,5231,1759,96281,5663.59,2013
West Lothian,23,10676,21859,21798,50815,49957,15747,7921,2253,181026,7870.7,2013
Aberdeen City,30,13226,22101,36761,82280,61660,19644,12161,4617,252450,8415,2014
Aberdeenshire,35,13939,27795,27703,62981,71768,25304,13782,5093,248365,7096.14,2014
Angus,17,5988,12490,13095,27336,33415,13924,8103,3049,117400,6905.88,2014
Argyll and Bute,33,3908,8551,9544,19078,26897,11713,6593,2356,88640,2686.06,2014
City of Edinburgh,75,26772,45321,77104,187522,123403,39072,24986,10446,534626,7128.35,2014
Clackmannanshire,7,3022,6247,6658,13803,16533,6038,3178,1049,56528,8075.43,2014
Dumfries and Galloway,34,6986,15351,16451,33118,46154,20101,11896,4131,154188,4534.94,2014
Dundee City,23,8346,15422,25078,44815,40746,14351,9378,3553,161689,7029.96,2014
East Ayrshire,16,6906,13986,15508,32757,38057,14244,8090,2565,132113,8257.06,2014
East Dunbartonshire,17,5128,10988,12133,24732,29938,11181,7086,2397,103583,6093.12,2014
East Lothian,16,5746,12114,12251,24867,30214,10884,6446,2430,104952,6559.5,2014
East Renfrewshire,17,5861,12663,12646,25572,28745,9313,5896,2166,102862,6050.71,2014
Falkirk,27,8721,17518,18053,42233,44829,15660,9048,2937,158999,5888.85,2014
Fife,59,20055,40286,48820,94062,105173,40280,22377,8161,379214,6427.36,2014
Glasgow City,149,35199,63133,98884,233690,171356,46812,30144,11091,690309,4632.95,2014
